,xlon,ylat,XCO2,SST,SSS,MLD,Chl,dbscan_clusters
240,-74.5,316.5,370.18506,-1.6998743,34.157795,66.33813,0.5349301,0
241,-74.5,317.5,370.18506,-1.6950808,34.148804,67.20567,0.49610698,0
242,-74.5,318.5,370.18506,-1.69176,34.138447,68.17183,0.46242085,0
243,-74.5,319.5,370.18506,-1.6909986,34.12603,69.2307,0.44007236,0
244,-74.5,320.5,370.18506,-1.690183,34.113518,70.89784,0.41869044,0
245,-74.5,321.5,370.18506,-1.688587,34.100792,72.21918,0.39886436,0
246,-74.5,322.5,370.18506,-1.6879951,34.087875,73.49305,0.37994993,0
247,-74.5,323.5,370.18506,-1.6880044,34.074604,75.22549,0.36421588,0
248,-74.5,324.5,370.18506,-1.6876767,34.061535,76.83962,0.34941223,0
249,-74.5,325.5,370.18506,-1.6860746,34.04882,78.11507,0.33384332,0
250,-74.5,326.5,370.18506,-1.682484,34.036316,79.264725,0.31860214,0
251,-74.5,327.5,370.18506,-1.677105,34.023926,80.3996,0.30618274,0
252,-74.5,328.5,370.18506,-1.6718842,34.01113,81.67317,0.29779553,0
253,-74.5,329.5,370.18506,-1.6638083,33.998245,83.183495,0.2924865,0
254,-74.5,330.5,370.18506,-1.6500214,33.987076,85.174736,0.28881642,0
255,-74.5,331.5,370.18506,-1.6293538,33.979134,88.016785,0.28463048,0
256,-74.5,332.5,370.18506,-1.6034745,33.975464,92.15951,0.27851254,0
257,-74.5,333.5,370.18506,-1.5782118,33.975403,96.49765,0.271168,0
258,-73.5,170.5,370.18506,-1.5424451,34.295555,96.036354,1.456951,0
259,-73.5,171.5,370.18506,-1.4869946,34.303158,97.42593,1.4260504,0
260,-73.5,172.5,370.18506,-1.4378849,34.30855,91.49501,1.4095773,0
261,-73.5,173.5,370.18506,-1.4054778,34.308018,80.680984,1.4017106,0
262,-73.5,174.5,370.18506,-1.3917397,34.300858,73.685646,1.3894558,0
263,-73.5,175.5,370.18506,-1.3918982,34.288395,64.56726,1.3618197,0
264,-73.5,176.5,370.18506,-1.4063964,34.268448,58.559032,1.3560005,0
265,-73.5,177.5,370.18506,-1.4273648,34.245834,54.61139,1.357955,0
266,-73.5,178.5,370.18506,-1.4449528,34.22591,51.74727,1.3145858,0
267,-73.5,179.5,370.18506,-1.4591445,34.20926,49.12584,1.2250712,0
268,-73.5,180.5,370.18506,-1.4828454,34.188602,49.082756,1.1794764,0
269,-73.5,181.5,370.18506,-1.5216147,34.160427,51.26676,1.1840847,0
270,-73.5,182.5,370.18506,-1.5678501,34.12755,53.849304,1.171828,0
271,-73.5,183.5,370.18506,-1.6077466,34.09498,56.67003,1.1050675,0
272,-73.5,184.5,370.18506,-1.631486,34.066067,59.50106,1.0061061,0
273,-73.5,185.5,370.18506,-1.6455866,34.039383,61.65843,0.9174969,0
274,-73.5,186.5,370.18506,-1.6550405,34.014313,63.25049,0.85247976,0
275,-73.5,187.5,370.18506,-1.6629437,33.990932,64.4541,0.80886966,0
276,-73.5,188.5,370.18506,-1.6696233,33.96929,65.44993,0.7807332,0
277,-73.5,189.5,370.18506,-1.6750778,33.949127,66.31753,0.76181895,0
278,-73.5,190.5,370.18506,-1.6793401,33.930077,67.08646,0.74710315,0
279,-73.5,191.5,370.18506,-1.6824222,33.911865,67.73148,0.7340526,0
280,-73.5,192.5,370.18506,-1.6843053,33.894356,68.21327,0.7224643,0
281,-73.5,193.5,370.18506,-1.6851828,33.877377,68.62629,0.7121371,0
282,-73.5,194.5,370.18506,-1.6850697,33.860943,68.949394,0.7023923,0
283,-73.5,195.5,370.18506,-1.6866074,33.845387,69.20665,0.69399285,0
284,-73.5,196.5,370.18506,-1.6892099,33.830666,69.4209,0.68799925,0
285,-73.5,197.5,370.18506,-1.692135,33.8166,69.56964,0.683761,0
286,-73.5,198.5,370.18506,-1.6946051,33.802948,69.696625,0.67925906,0
287,-73.5,199.5,370.18506,-1.6960949,33.789547,69.82777,0.67296636,0
288,-73.5,200.5,370.18506,-1.6963954,33.776394,69.95537,0.66452956,0
289,-73.5,201.5,370.18506,-1.6958814,33.76364,70.05669,0.65425473,0
290,-73.5,202.5,370.18506,-1.695951,33.75153,70.09439,0.6421455,0
291,-73.5,203.5,370.18506,-1.6962396,33.740116,70.18068,0.62757266,0
292,-73.5,204.5,370.18506,-1.697976,33.729397,70.262436,0.6102014,0
293,-73.5,205.5,370.18506,-1.7009039,33.71924,70.35535,0.5905466,0
294,-73.5,206.5,370.18506,-1.703891,33.709373,70.50761,0.5690465,0
295,-73.5,207.5,370.18506,-1.7068336,33.699738,70.70778,0.5460766,0
296,-73.5,208.5,370.18506,-1.7097187,33.690445,70.99332,0.5216977,0
297,-73.5,209.5,370.18506,-1.7121255,33.68179,71.40113,0.495779,0
298,-73.5,210.5,370.18506,-1.7139821,33.674088,71.888725,0.4685514,0
299,-73.5,211.5,370.18506,-1.7169163,33.66727,72.39019,0.44128358,0
300,-73.5,212.5,370.18506,-1.7201362,33.66117,72.8706,0.41565624,0
301,-73.5,213.5,370.18506,-1.723573,33.655315,73.18438,0.3926391,0
302,-73.5,214.5,370.18506,-1.7272861,33.64956,73.490135,0.37170362,0
303,-73.5,215.5,370.18506,-1.7310207,33.64394,73.75687,0.3527913,0
304,-73.5,216.5,370.18506,-1.7348409,33.63825,73.99326,0.3362263,0
305,-73.5,217.5,370.18506,-1.7388401,33.632378,74.24075,0.32214424,0
306,-73.5,218.5,370.18506,-1.7429402,33.62636,74.50903,0.31051752,0
307,-73.5,219.5,370.18506,-1.746875,33.62012,74.75769,0.3013685,0
308,-73.5,220.5,370.18506,-1.750231,33.61316,74.964676,0.29470944,0
309,-73.5,221.5,370.18506,-1.7519655,33.605145,74.999214,0.2917197,0
310,-73.5,222.5,370.18506,-1.750751,33.59646,74.89899,0.2934922,0
311,-73.5,223.5,370.18506,-1.7472725,33.58806,74.81748,0.29989672,0
312,-73.5,224.5,370.18506,-1.7428107,33.580044,74.68257,0.30963308,0
313,-73.5,225.5,370.18506,-1.7385086,33.57211,74.527176,0.32116812,0
314,-73.5,226.5,370.18506,-1.7348433,33.56395,74.411766,0.3345973,0
315,-73.5,227.5,370.18506,-1.7293574,33.556328,74.30298,0.35239473,0
316,-73.5,228.5,370.18506,-1.7175345,33.551003,74.09754,0.37761998,0
317,-73.5,229.5,370.18506,-1.6993623,33.54842,73.84209,0.4095852,0
318,-73.5,230.5,370.18506,-1.6761776,33.54981,73.6728,0.44163063,0
319,-73.5,231.5,370.18506,-1.6573763,33.554173,73.603455,0.46401268,0
320,-73.5,247.5,370.18506,-1.766289,33.48669,62.291424,1.356797,0
321,-73.5,248.5,370.18506,-1.7506989,33.487392,61.941833,1.3429143,0
322,-73.5,249.5,370.18506,-1.7279938,33.490845,61.865135,1.3155193,0
323,-73.5,250.5,370.18506,-1.6959208,33.49513,61.740833,1.2877705,0
324,-73.5,251.5,370.18506,-1.6506785,33.50202,61.655254,1.2813798,0
